Titulo,Documentary,Sci-Fi,Mystery,Horror,Romance,Thriller,Crime,Fantasy,Comedy,Animation,Children,Drama,Adventure,Duracao,Investimento,Gostou
Heavenly Creatures (1994),0,0,0,0,0,0,1,0,0,0,0,1,0,1205497574,5352305702,1
Interview with the Vampire: The Vampire Chronicles (1994),0,0,0,1,0,0,0,0,0,0,0,1,0,1000565265,675025354,0
Star Wars: Episode IV - A New Hope (1977),0,1,0,0,0,0,0,0,0,0,0,0,1,8569736845,1541519593,1
Little Women (1994),0,0,0,0,0,0,0,0,0,0,0,1,0,1399211905,1470513356,0
Madness of King George The (1994),0,0,0,0,0,0,0,0,1,0,0,1,0,1054496514,4907552005,1
Murder in the First (1995),0,0,0,0,0,0,0,0,0,0,0,1,0,1247161532,9946580274,1
Pulp Fiction (1994),0,0,0,0,0,0,1,0,1,0,0,1,0,1083749505,7866863232,1
Quiz Show (1994),0,0,0,0,0,0,0,0,0,0,0,1,0,821177962,1187053876,1
Quick and the Dead The (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,8370596536,1518417048,1
Secret of Roan Inish The (1994),0,0,1,0,0,0,0,1,0,0,1,1,0,8824430078,1994031513,0
Shawshank Redemption The (1994),0,0,0,0,0,0,1,0,0,0,0,1,0,9796876575,1727783308,0
Vanya on 42nd Street (1994),0,0,0,0,0,0,0,0,0,0,0,1,0,1044006145,6966820533,1
What's Eating Gilbert Grape (1993),0,0,0,0,0,0,0,0,0,0,0,1,0,8913304048,402058847,1
Muriel's Wedding (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,1174106664,2090338469,1
Adventures of Priscilla Queen of the Desert The (1994),0,0,0,0,0,0,0,0,1,0,0,1,0,9793956818,1193333847,1
Backbeat (1993),0,0,0,0,0,0,0,0,0,0,0,1,0,7872680301,7299708884,0
Bullets Over Broadway (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,1281946981,8918660431,1
Crooklyn (1994),0,0,0,0,0,0,0,0,1,0,0,1,0,9168170444,4917536977,1
Wolf (1994),0,0,0,1,1,0,0,0,0,0,0,1,0,1017548059,8148986719,0
Addams Family Values (1993),0,0,0,0,0,0,0,1,1,0,1,0,0,1526565547,5232304351,0
Barcelona (1994),0,0,0,0,1,0,0,0,1,0,0,0,0,1077666975,1521330862,1
Cliffhanger (1993),0,0,0,0,0,0,0,0,0,0,0,0,1,1298623372,1242009258,1
Dazed and Confused (1993),0,0,0,0,0,0,0,0,1,0,0,0,0,9746036931,4978804294,1
Fugitive The (1993),0,0,0,0,0,0,0,0,0,0,0,0,0,1148170915,3045769446,0
Hudsucker Proxy The (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,1171639651,2783439615,1
In the Line of Fire (1993),0,0,0,0,0,0,0,0,0,0,0,0,0,1110386208,2161615709,0
Manhattan Murder Mystery (1993),0,0,1,0,0,0,0,0,1,0,0,0,0,112924068,8848529231,1
Naked (1993),0,0,0,0,0,0,0,0,0,0,0,1,0,1200511636,459635792,1
Orlando (1992),0,0,0,0,1,0,0,1,0,0,0,1,0,1113208887,1401672317,0
Perfect World A (1993),0,0,0,0,0,0,1,0,0,0,0,1,0,1095191583,1266357844,0
Philadelphia (1993),0,0,0,0,0,0,0,0,0,0,0,1,0,1224752869,5189428638,0
Schindler's List (1993),0,0,0,0,0,0,0,0,0,0,0,1,0,9890412329,8607079995,1
Searching for Bobby Fischer (1993),0,0,0,0,0,0,0,0,0,0,0,1,0,5980583216,1465912336,1
Serial Mom (1994),0,0,0,1,0,0,1,0,1,0,0,0,0,8282177753,1027975082,1
Short Cuts (1993),0,0,0,0,0,0,0,0,0,0,0,1,0,1276484963,2655890894,1
Six Degrees of Separation (1993),0,0,0,0,0,0,0,0,0,0,0,1,0,1248245722,345188356,1
Blade Runner (1982),0,1,0,0,0,0,0,0,0,0,0,0,0,1117076302,3741570223,1
Thirty-Two Short Films About Glenn Gould (1993),0,0,0,0,0,0,0,0,0,0,0,1,0,145282976,1848126125,1
Nightmare Before Christmas The (1993),0,0,0,0,0,0,0,1,0,1,1,0,0,1621824786,4845370494,1
True Romance (1993),0,0,0,0,0,0,1,0,0,0,0,0,0,1338499146,23084927,0
War Room The (1993),1,0,0,0,0,0,0,0,0,0,0,0,0,1216000901,5192729406,1
Welcome to the Dollhouse (1995),0,0,0,0,0,0,0,0,1,0,0,1,0,110880335,3001555517,1
Spanking the Monkey (1994),0,0,0,0,0,0,0,0,1,0,0,1,0,1242568027,7570791552,1
Celluloid Closet The (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,1026920056,9185207842,1
Dances with Wolves (1990),0,0,0,0,0,0,0,0,0,0,0,1,1,7049991176,1449053512,0
Batman (1989),0,0,0,0,0,0,1,0,0,0,0,0,0,1084794208,420406046,1
Silence of the Lambs The (1991),0,0,0,1,0,0,1,0,0,0,0,0,0,1284614876,4890201235,1
Snow White and the Seven Dwarfs (1937),0,0,0,0,0,0,0,1,0,1,1,1,0,9194666572,6509355981,1
Pinocchio (1940),0,0,0,0,0,0,0,1,0,1,1,0,0,9131397846,970102728,1
Wild Bunch The (1969),0,0,0,0,0,0,0,0,0,0,0,0,1,1185112094,8252160345,1
Fargo (1996),0,0,0,0,0,0,1,0,1,0,0,1,0,1197297431,6262227627,1
Aristocats The (1970),0,0,0,0,0,0,0,0,0,1,1,0,0,129694521,4511441131,1
James and the Giant Peach (1996),0,0,0,0,0,0,0,1,0,1,1,0,1,8695938682,3715997196,1
Wallace & Gromit: A Close Shave (1995),0,0,0,0,0,0,0,0,1,1,1,0,0,1145999132,3640933466,1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),0,0,0,0,0,0,0,0,1,0,0,0,0,1272348263,1794015209,1
I Shot Andy Warhol (1996),0,0,0,0,0,0,0,0,0,0,0,1,0,1544841398,2273691812,1
Trainspotting (1996),0,0,0,0,0,0,1,0,1,0,0,1,0,1188142634,4555481795,1
Independence Day (a.k.a. ID4) (1996),0,1,0,0,0,0,0,0,0,0,0,0,1,9497288986,2648803908,0
Frighteners The (1996),0,0,0,1,0,0,0,0,1,0,0,0,0,1100288318,2972273525,0
Lone Star (1996),0,0,1,0,0,0,0,0,0,0,0,1,0,1079398911,6699425502,1
Phenomenon (1996),0,0,0,0,1,0,0,0,0,0,0,1,0,8087834722,1124343185,0
Godfather The (1972),0,0,0,0,0,0,1,0,0,0,0,1,0,8834610847,367654171,1
Philadelphia Story The (1940),0,0,0,0,1,0,0,0,1,0,0,1,0,9080102563,1040078918,1
Singin' in the Rain (1952),0,0,0,0,1,0,0,0,1,0,0,0,0,1106940851,3903251367,1
Breakfast at Tiffany's (1961),0,0,0,0,1,0,0,0,0,0,0,1,0,9793596936,7431233407,1
Vertigo (1958),0,0,1,0,1,0,0,0,0,0,0,1,0,5626122284,7202910747,1
Rear Window (1954),0,0,1,0,0,0,0,0,0,0,0,0,0,1087619464,7538660367,1
It Happened One Night (1934),0,0,0,0,1,0,0,0,1,0,0,0,0,1205691035,9226990236,1
North by Northwest (1959),0,0,1,0,1,0,0,0,0,0,0,0,1,1128922887,609161341,1
Apartment The (1960),0,0,0,0,1,0,0,0,1,0,0,1,0,1396652997,6910171331,1
Some Like It Hot (1959),0,0,0,0,0,0,1,0,1,0,0,0,0,1106812641,1830506327,1
Casablanca (1942),0,0,0,0,1,0,0,0,0,0,0,1,0,1298841958,3334253364,1
Maltese Falcon The (1941),0,0,1,0,0,0,0,0,0,0,0,0,0,1243426975,1188053564,1
My Fair Lady (1964),0,0,0,0,1,0,0,0,1,0,0,1,0,9901788708,102160312,1
Meet Me in St. Louis (1944),0,0,0,0,0,0,0,0,0,0,0,0,0,8903889252,3625453601,1
Wizard of Oz The (1939),0,0,0,0,0,0,0,1,0,0,1,0,1,1357401955,422420926,1
Gone with the Wind (1939),0,0,0,0,1,0,0,0,0,0,0,1,0,1038883632,5105097835,1
My Favorite Year (1982),0,0,0,0,0,0,0,0,1,0,0,0,0,1384917879,1033145522,1
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),0,0,0,0,1,0,0,0,0,0,0,1,0,6682870515,1524131305,1
Citizen Kane (1941),0,0,1,0,0,0,0,0,0,0,0,1,0,1295287262,4002412961,1
2001: A Space Odyssey (1968),0,1,0,0,0,0,0,0,0,0,0,1,1,8808796167,762127659,1
All About Eve (1950),0,0,0,0,0,0,0,0,0,0,0,1,0,1350120576,1861535436,1
Women The (1939),0,0,0,0,0,0,0,0,1,0,0,0,0,1377753739,9438897318,1
Rebecca (1940),0,0,1,0,1,0,0,0,0,0,0,1,0,116504924,1933861609,1
Notorious (1946),0,0,0,0,1,0,0,0,0,0,0,0,0,1392877834,4347886959,1
Spellbound (1945),0,0,1,0,1,0,0,0,0,0,0,0,0,9543979832,88078907,1
Top Hat (1935),0,0,0,0,1,0,0,0,1,0,0,0,0,1127117576,4882626156,1
Giant (1956),0,0,0,0,1,0,0,0,0,0,0,1,0,8522963398,7580422721,1
East of Eden (1955),0,0,0,0,0,0,0,0,0,0,0,1,0,9143583574,1161629735,1
Thin Man The (1934),0,0,0,0,0,0,1,0,1,0,0,0,0,9796387764,1648988406,1
It's a Wonderful Life (1946),0,0,0,0,1,0,0,1,0,0,1,1,0,1301358095,1092781344,1
Mr. Smith Goes to Washington (1939),0,0,0,0,0,0,0,0,0,0,0,1,0,1004440184,9657702937,1
Bringing Up Baby (1938),0,0,0,0,1,0,0,0,1,0,0,0,0,1479399269,8218421598,1
39 Steps The (1935),0,0,1,0,0,0,0,0,0,0,0,1,0,1119932821,1433890371,1
Night of the Living Dead (1968),0,1,0,1,0,0,0,0,0,0,0,0,0,9884189654,4740071426,1
African Queen The (1951),0,0,0,0,1,0,0,0,1,0,0,0,1,1072969057,1952725101,1
Cat on a Hot Tin Roof (1958),0,0,0,0,0,0,0,0,0,0,0,1,0,1146977782,4031349439,1
Meet John Doe (1941),0,0,0,0,0,0,0,0,1,0,0,1,0,1007403647,702343186,1
Picnic (1955),0,0,0,0,0,0,0,0,0,0,0,1,0,8641637894,6007645051,1
Big Night (1996),0,0,0,0,0,0,0,0,1,0,0,1,0,1179211566,1743054421,1
Escape to Witch Mountain (1975),0,0,0,0,0,0,0,1,0,0,1,0,1,9740191922,1694980462,0
Love Bug The (1969),0,0,0,0,0,0,0,0,1,0,1,0,0,1025987422,68957264,1
Old Yeller (1957),0,0,0,0,0,0,0,0,0,0,1,1,0,912254357,5222074598,1
20000 Leagues Under the Sea (1954),0,1,0,0,0,0,0,0,0,0,0,1,1,9795407041,3337326742,1
Mary Poppins (1964),0,0,0,0,0,0,0,1,1,0,1,0,0,9487972873,5831815895,1
Dumbo (1941),0,0,0,0,0,0,0,0,0,1,1,1,0,9755488204,180955761,1
Sound of Music The (1965),0,0,0,0,1,0,0,0,0,0,0,0,0,1237659567,8611458611,1
Die Hard (1988),0,0,0,0,0,0,1,0,0,0,0,0,0,9435097575,664114902,1
Beautiful Thing (1996),0,0,0,0,1,0,0,0,0,0,0,1,0,1089146657,1619917795,1
Everyone Says I Love You (1996),0,0,0,0,1,0,0,0,1,0,0,0,0,1197560711,9285650463,1
Sleepers (1996),0,0,0,0,0,0,0,0,0,0,0,0,0,1378450829,1217591975,0
Willy Wonka & the Chocolate Factory (1971),0,0,0,0,0,0,0,1,1,0,1,0,0,1149925507,4830590422,1
Sleeper (1973),0,1,0,0,0,0,0,0,1,0,0,0,0,1277860576,1111498272,1
Bananas (1971),0,0,0,0,0,0,0,0,1,0,0,0,0,9360767535,4544584337,1
Fish Called Wanda A (1988),0,0,0,0,0,0,1,0,1,0,0,0,0,1402981916,3852781454,1
Monty Python's Life of Brian (1979),0,0,0,0,0,0,0,0,1,0,0,0,0,1321474809,1524088246,1
Victor/Victoria (1982),0,0,0,0,1,0,0,0,1,0,0,0,0,1407711681,4900711303,1
Candidate The (1972),0,0,0,0,0,0,0,0,0,0,0,1,0,1133916301,1792193693,1
Bonnie and Clyde (1967),0,0,0,0,0,0,1,0,0,0,0,1,0,1335099713,4168496428,1
Dial M for Murder (1954),0,0,1,0,0,0,1,0,0,0,0,0,0,1491772121,30412275,1
Reservoir Dogs (1992),0,0,1,0,0,0,1,0,0,0,0,0,0,1295860998,4625739179,1
Platoon (1986),0,0,0,0,0,0,0,0,0,0,0,1,0,1245934267,2569934946,0
Doors The (1991),0,0,0,0,0,0,0,0,0,0,0,1,0,1141925528,2488002598,0
Crying Game The (1992),0,0,0,0,1,0,0,0,0,0,0,1,0,1045374299,4840527987,1
Glengarry Glen Ross (1992),0,0,0,0,0,0,0,0,0,0,0,1,0,1194274331,4738332674,1
Sophie's Choice (1982),0,0,0,0,0,0,0,0,0,0,0,1,0,1477504796,6053188632,1
E.T. the Extra-Terrestrial (1982),0,1,0,0,0,0,0,0,0,0,1,1,0,1054934705,3301692024,1
Rebel Without a Cause (1955),0,0,0,0,0,0,0,0,0,0,0,1,0,1455304867,9222812653,1
Streetcar Named Desire A (1951),0,0,0,0,0,0,0,0,0,0,0,1,0,1374204249,1112590861,1
People vs. Larry Flynt The (1996),0,0,0,0,0,0,0,0,1,0,0,1,0,1048670581,5795934073,1
On Golden Pond (1981),0,0,0,0,0,0,0,0,0,0,0,1,0,1152350119,1431204721,1
Return of the Pink Panther The (1975),0,0,0,0,0,0,1,0,1,0,0,0,0,1381015323,3119721091,1
Fog The (1980),0,0,0,1,0,0,0,0,0,0,0,0,0,1013795535,4347615347,1
Jean de Florette (1986),0,0,1,0,0,0,0,0,0,0,0,1,0,1153073719,5960699963,1
Manon of the Spring (Manon des sources) (1986),0,0,0,0,0,0,0,0,0,0,0,1,0,878802391,6944135487,1
Monty Python and the Holy Grail (1975),0,0,0,0,0,0,0,1,1,0,0,0,1,1146312816,4646933617,1
When We Were Kings (1996),1,0,0,0,0,0,0,0,0,0,0,0,0,9838919413,3639999761,1
Wallace & Gromit: The Wrong Trousers (1993),0,0,0,0,0,0,1,0,1,1,1,0,0,1261785289,5303233685,1
Bob Roberts (1992),0,0,0,0,0,0,0,0,1,0,0,0,0,1008738572,5641012571,1
Cinema Paradiso (Nuovo cinema Paradiso) (1989),0,0,0,0,0,0,0,0,0,0,0,1,0,1130054552,3972207536,1
Cook the Thief His Wife & Her Lover The (1989),0,0,0,0,0,0,0,0,1,0,0,1,0,9932300223,8770481788,1
Delicatessen (1991),0,0,0,0,1,0,0,0,1,0,0,1,0,8236066686,4858611203,1
Paths of Glory (1957),0,0,0,0,0,0,0,0,0,0,0,1,0,1188372692,2868414742,1
Grifters The (1990),0,0,0,0,0,0,1,0,0,0,0,1,0,1015091673,4166535432,1
My Left Foot (1989),0,0,0,0,0,0,0,0,0,0,0,1,0,1278845413,1331610868,1
Sex Lies and Videotape (1989),0,0,0,0,0,0,0,0,0,0,0,1,0,1384844016,3497719941,1
Strictly Ballroom (1992),0,0,0,0,1,0,0,0,1,0,0,0,0,1165412471,1899294133,0
Thin Blue Line The (1988),1,0,0,0,0,0,0,0,0,0,0,0,0,1282055975,3726834208,1
Paris Is Burning (1990),1,0,0,0,0,0,0,0,0,0,0,0,0,1241085879,4898354159,1
One Flew Over the Cuckoo's Nest (1975),0,0,0,0,0,0,0,0,0,0,0,1,0,1497999052,9852717933,1
Star Wars: Episode V - The Empire Strikes Back (1980),0,1,0,0,0,0,0,0,0,0,0,0,1,995350299,6555508891,1
Princess Bride The (1987),0,0,0,0,1,0,0,1,1,0,0,0,1,8208325864,2969151142,1
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),0,0,0,0,0,0,0,0,0,0,0,0,1,8900116089,4921909466,1
Aliens (1986),0,1,0,1,0,0,0,0,0,0,0,0,1,9598967563,4007921403,1
Good the Bad and the Ugly The (Buono il brutto il cattivo Il) (1966),0,0,0,0,0,0,0,0,0,0,0,0,1,980491345,1271400033,1
12 Angry Men (1957),0,0,0,0,0,0,0,0,0,0,0,1,0,9731674617,1205725037,1
Lawrence of Arabia (1962),0,0,0,0,0,0,0,0,0,0,0,1,1,6836167567,6443490664,1
To Kill a Mockingbird (1962),0,0,0,0,0,0,0,0,0,0,0,1,0,958426051,1178923469,1
Apocalypse Now (1979),0,0,0,0,0,0,0,0,0,0,0,1,0,8050417442,5917436543,1
Once Upon a Time in the West (C'era una volta il West) (1968),0,0,0,0,0,0,0,0,0,0,0,1,0,1154847416,7205618564,1
Star Wars: Episode VI - Return of the Jedi (1983),0,1,0,0,0,0,0,0,0,0,0,0,1,1011764346,4583675235,0
Wings of Desire (Himmel �ber Berlin Der) (1987),0,0,0,0,1,0,0,1,0,0,0,1,0,1084011964,6200618996,1
Third Man The (1949),0,0,1,0,0,0,0,0,0,0,0,0,0,137452129,3347972583,1
Goodfellas (1990),0,0,0,0,0,0,1,0,0,0,0,1,0,1402373667,9682139277,1
Alien (1979),0,1,0,1,0,0,0,0,0,0,0,0,0,1160268217,4842226665,1
Ran (1985),0,0,0,0,0,0,0,0,0,0,0,1,0,1110573519,7197082561,1
Killer The (Die xue shuang xiong) (1989),0,0,0,0,0,0,1,0,0,0,0,1,0,129881604,6039756905,1
Psycho (1960),0,0,0,1,0,0,1,0,0,0,0,0,0,8016470513,1075485059,1
Blues Brothers The (1980),0,0,0,0,0,0,0,0,1,0,0,0,0,1135045712,4861000231,1
Godfather: Part II The (1974),0,0,0,0,0,0,1,0,0,0,0,1,0,111567032,9385162488,1
Full Metal Jacket (1987),0,0,0,0,0,0,0,0,0,0,0,1,0,9920351754,4631025923,1
Henry V (1989),0,0,0,0,1,0,0,0,0,0,0,1,0,6986673456,5577082694,1
Amadeus (1984),0,0,0,0,0,0,0,0,0,0,0,1,0,1274542326,6276712065,1
Once Upon a Time in America (1984),0,0,0,0,0,0,1,0,0,0,0,1,0,1308825873,1414982499,1
Raging Bull (1980),0,0,0,0,0,0,0,0,0,0,0,1,0,1248822293,3347385392,1
Annie Hall (1977),0,0,0,0,1,0,0,0,1,0,0,0,0,1480675698,2218208431,1
Right Stuff The (1983),0,0,0,0,0,0,0,0,0,0,0,1,0,111599065,3652523457,1
Boot Das (Boat The) (1981),0,0,0,0,0,0,0,0,0,0,0,1,0,8781373137,3534819377,1
Sting The (1973),0,0,0,0,0,0,1,0,1,0,0,0,0,895513743,1165381709,1
Harold and Maude (1971),0,0,0,0,1,0,0,0,1,0,0,1,0,9867885711,3590086399,1
Seventh Seal The (Sjunde inseglet Det) (1957),0,0,0,0,0,0,0,0,0,0,0,1,0,128026184,1819737668,1
Local Hero (1983),0,0,0,0,0,0,0,0,1,0,0,0,0,9383102807,1552120927,1
Terminator The (1984),0,1,0,0,0,0,0,0,0,0,0,0,0,1240556757,2967214625,1
Glory (1989),0,0,0,0,0,0,0,0,0,0,0,1,0,9145717159,6495997647,1
Rosencrantz and Guildenstern Are Dead (1990),0,0,0,0,0,0,0,0,1,0,0,1,0,1209341679,5373564557,1
Manhattan (1979),0,0,0,0,1,0,0,0,1,0,0,1,0,1072007837,3106420234,1
Miller's Crossing (1990),0,0,0,0,0,0,1,0,0,0,0,1,0,10016624,1007055813,1
Dead Poets Society (1989),0,0,0,0,0,0,0,0,0,0,0,1,0,1224897512,2443202512,0
Graduate The (1967),0,0,0,0,1,0,0,0,1,0,0,1,0,1067402631,5020354668,1
Touch of Evil (1958),0,0,0,0,0,0,1,0,0,0,0,0,0,1082058253,2269782275,1
Femme Nikita La (Nikita) (1990),0,0,0,0,1,0,1,0,0,0,0,0,0,9943985429,2836559176,1
Bridge on the River Kwai The (1957),0,0,0,0,0,0,0,0,0,0,0,1,1,1040205805,7402906187,1
8 1/2 (8_) (1963),0,0,0,0,0,0,0,1,0,0,0,1,0,1022628948,1531739842,1
Chinatown (1974),0,0,1,0,0,0,1,0,0,0,0,0,0,1059955316,3518429318,1
Day the Earth Stood Still The (1951),0,1,0,0,0,0,0,0,0,0,0,1,0,1075063747,1889673095,1
Duck Soup (1933),0,0,0,0,0,0,0,0,1,0,0,0,0,7859758622,3681213855,1
Shining The (1980),0,0,0,1,0,0,0,0,0,0,0,0,0,1065463022,9883980643,1
Stand by Me (1986),0,0,0,0,0,0,0,0,0,0,0,1,1,9338935145,6647469135,1
M (1931),0,0,0,0,0,0,1,0,0,0,0,0,0,9974205898,9707016509,1
Great Escape The (1963),0,0,0,0,0,0,0,0,0,0,0,1,1,1163035932,4764267847,1
Deer Hunter The (1978),0,0,0,0,0,0,0,0,0,0,0,1,0,1085813146,4540874142,1
Diva (1981),0,0,1,0,1,0,0,0,0,0,0,1,0,9708721051,5934287252,1
Groundhog Day (1993),0,0,0,0,1,0,0,1,1,0,0,0,0,8227940755,5382005209,1
Unforgiven (1992),0,0,0,0,0,0,0,0,0,0,0,1,0,1005531869,3170480942,1
Manchurian Candidate The (1962),0,0,0,0,0,0,1,0,0,0,0,0,0,9743449895,2054458738,1
Pump Up the Volume (1990),0,0,0,0,0,0,0,0,1,0,0,1,0,1398505381,2826484671,0
Back to the Future (1985),0,1,0,0,0,0,0,0,1,0,0,0,1,102710193,288230087,0
Patton (1970),0,0,0,0,0,0,0,0,0,0,0,1,0,9798557839,5940892351,1
Down by Law (1986),0,0,0,0,0,0,0,0,1,0,0,1,0,1059266346,2163325399,1
Cool Hand Luke (1967),0,0,0,0,0,0,0,0,0,0,0,1,0,1087991286,3847799202,1
Young Frankenstein (1974),0,0,0,0,0,0,0,1,1,0,0,0,0,9426853448,4638974729,1
Night on Earth (1991),0,0,0,0,0,0,0,0,1,0,0,1,0,1040193847,3805286932,1
Great Dictator The (1940),0,0,0,0,0,0,0,0,1,0,0,1,0,1165427568,4258450501,1
Fantasia (1940),0,0,0,0,0,0,0,1,0,1,1,0,0,9003059091,3870439783,1
High Noon (1952),0,0,0,0,0,0,0,0,0,0,0,1,0,1366611268,8864537936,1
Big Sleep The (1946),0,0,1,0,0,0,1,0,0,0,0,0,0,7701385515,1130857109,1
Heathers (1989),0,0,0,0,0,0,0,0,1,0,0,0,0,1100487601,1163033393,1
Ben-Hur (1959),0,0,0,0,0,0,0,0,0,0,0,1,1,8598851894,7501683499,1
This Is Spinal Tap (1984),0,0,0,0,0,0,0,0,1,0,0,0,0,93433868,1241562519,1
Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983),1,0,0,0,0,0,0,0,0,0,0,0,0,1161819684,8768843781,1
Being There (1979),0,0,0,0,0,0,0,0,1,0,0,1,0,9958098319,220889119,1
Gandhi (1982),0,0,0,0,0,0,0,0,0,0,0,1,0,1309847777,4783211997,1
Room with a View A (1986),0,0,0,0,1,0,0,0,0,0,0,1,0,1366359307,6706883998,1
Killing Fields The (1984),0,0,0,0,0,0,0,0,0,0,0,1,0,1108802727,5367540813,1
My Life as a Dog (Mitt liv som hund) (1985),0,0,0,0,0,0,0,0,1,0,0,1,0,9244736187,1451822703,1
Field of Dreams (1989),0,0,0,0,0,0,0,1,0,0,1,1,0,1143201256,3766133873,0
Butch Cassidy and the Sundance Kid (1969),0,0,0,0,0,0,0,0,0,0,0,0,0,9919426093,4279501715,1
When Harry Met Sally... (1989),0,0,0,0,1,0,0,0,1,0,0,0,0,1026501588,1217997647,0
Alien_ (a.k.a. Alien 3) (1992),0,1,0,1,0,0,0,0,0,0,0,0,0,1284701998,3757717137,0
American Werewolf in London An (1981),0,0,0,1,0,0,0,0,1,0,0,0,0,125788133,104169006,1
Amityville 3-D (1983),0,0,0,1,0,0,0,0,0,0,0,0,0,1044030247,350127028,0
Amityville Horror The (1979),0,0,1,1,0,0,0,0,0,0,0,1,0,1155341355,4934439,1
Birds The (1963),0,0,0,1,0,0,0,0,0,0,0,0,0,1044854639,2855934779,1
Dracula (Bram Stoker's Dracula) (1992),0,0,0,1,1,0,0,1,0,0,0,0,0,116611607,4466574078,0
Bride of Frankenstein The (Bride of Frankenstein) (1935),0,1,0,1,0,0,0,0,0,0,0,1,0,1031144192,4682143645,1
Burnt Offerings (1976),0,0,0,1,0,0,0,0,0,0,0,0,0,1131393856,6928659094,1
Candyman (1992),0,0,0,1,0,0,0,0,0,0,0,0,0,1087605577,8001008685,0
Carrie (1976),0,0,0,1,0,0,0,1,0,0,0,1,0,9628714619,2022730101,1
Cat People (1982),0,0,0,1,0,0,0,1,0,0,0,1,0,1093050447,3793103749,0
Nightmare on Elm Street A (1984),0,0,0,1,0,0,0,0,0,0,0,0,0,1168966029,2730627659,1
Nosferatu (Nosferatu eine Symphonie des Grauens) (1922),0,0,0,1,0,0,0,0,0,0,0,0,0,9800755964,4370078177,1
Omen The (1976),0,0,1,1,0,0,0,0,0,0,0,0,0,1376429132,1268245976,1
Shine (1996),0,0,0,0,1,0,0,0,0,0,0,1,0,1023544815,6026249429,1
Sling Blade (1996),0,0,0,0,0,0,0,0,0,0,0,1,0,1007144967,39345091,0
Paradise Lost: The Child Murders at Robin Hood Hills (1996),1,0,0,0,0,0,0,0,0,0,0,0,0,8378625319,1230340535,1
Crucible The (1996),0,0,0,0,0,0,0,0,0,0,0,1,0,1174860888,2414548477,1
